"Stock Name","lhsGrayCard_web_values__DQOxi","lhsGrayCard_web_redtext__dd7oX","lhsGrayCard_web_values__DQOxi 2","lhsGrayCard_web_values__DQOxi 3","lhsGrayCard_web_values__DQOxi 4","lhsGrayCard_web_greentext__zbrAw"
"Coal India","379.70","","5.15","07/05/2025","21/08/2025","(+0.04%)"
"Rail Vikas","336.60","(-2.86%)","1.72","21/05/2025","21/08/2025",""
"Relaxo Footwear","436.55","(-3.06%)","3.00","13/05/2025","21/08/2025",""
"Manorama Indust","1,387.80","(-3.09%)","0.60","28/04/2025","21/08/2025",""
"Thomas Cook","153.56","(-0.30%)","0.45","12/05/2025","21/08/2025",""
"Honda India PP","2,804.40","(-0.17%)","-","04/08/2025","21/08/2025",""
"Pudumjee Paper","129.70","","0.60","26/05/2025","21/08/2025","(+2.83%)"
"AMJ Land","56.26","(-0.42%)","0.20","14/05/2025","21/08/2025",""
"BSL","145.00","","0.80","22/05/2025","21/08/2025","(+0.65%)"
"Bhandari Hosier","4.97","(-1.00%)","0.02","30/05/2025","21/08/2025",""
"Kakatiya Cement","151.83","(-0.20%)","3.00","23/05/2025","21/08/2025",""
"Lodha Developer","1,202.60","(-1.62%)","4.25","24/04/2025","22/08/2025",""
"GE Vernova TD","2,804.50","","5.00","23/05/2025","22/08/2025","(+0.57%)"
"Godfrey Phillip","9,949.50","(-0.49%)","60.00","15/05/2025","22/08/2025",""
"Federal Bank","196.35","(-1.15%)","1.20","30/04/2025","22/08/2025",""
"APL Apollo","1,582.60","(-0.79%)","5.75","07/05/2025","22/08/2025",""
"LIC Housing Fin","570.60","(-1.35%)","10.00","15/05/2025","22/08/2025",""
"eClerx Services","4,109.30","(-0.13%)","1.00","14/05/2025","22/08/2025",""
"Sarda Energy","534.95","(-3.88%)","1.50","26/05/2025","22/08/2025",""
"KFin Tech","1,073.00","(-1.53%)","7.50","28/04/2025","22/08/2025",""
"Belrise Ind","134.69","(-1.70%)","0.55","25/07/2025","22/08/2025",""
"Netweb","2,104.70","(-1.96%)","2.50","05/05/2025","22/08/2025",""
"LLOYDS ENTER","83.68","(-1.48%)","0.10","09/05/2025","22/08/2025",""
"Procter Gamble","6,343.00","","45.00","29/05/2025","22/08/2025","(+0.48%)"
"AGI Greenpac","919.55","(-0.77%)","7.00","14/05/2025","22/08/2025",""
"Bannariamman","3,768.90","","12.50","28/05/2025","22/08/2025","(+0.43%)"
"Guj Amb Exports","102.80","(-1.88%)","0.25","19/05/2025","22/08/2025",""
"Deep Ind","532.65","(-0.10%)","3.05","02/05/2025","22/08/2025",""
"Sai Silks","170.46","(-3.26%)","1.00","16/05/2025","22/08/2025",""
"Mayur Uniquoter","529.75","","5.00","08/05/2025","22/08/2025","(+3.06%)"
"HMA Agro","30.49","(-0.78%)","0.30","04/08/2025","22/08/2025",""
"Sportking India","106.16","(-2.54%)","1.00","02/05/2025","22/08/2025",""
"Dynacons Sys","992.65","","-","06/08/2025","22/08/2025","(+0.72%)"
"Shree Digvijay","81.48","","1.50","28/04/2025","22/08/2025","(+0.60%)"
"Sandesh","1,368.00","","2.50","29/05/2025","22/08/2025","(+1.73%)"
"Kuantum Papers","115.13","(-7.84%)","3.00","20/05/2025","22/08/2025",""
"Rajapalayam","892.00","(-3.05%)","0.50","28/05/2025","22/08/2025",""
"A.K.Capital Ser","1,137.00","(-0.09%)","14.00","23/05/2025","22/08/2025",""
"Veljan Denison","1,285.00","","8.50","30/05/2025","22/08/2025","(+0.82%)"
"Nicco Parks","108.75","","-","04/08/2025","22/08/2025","(+0.55%)"
"ABM Knowledg","167.00","(-0.39%)","1.25","23/05/2025","22/08/2025",""
"Omax Autos","145.98","","2.50","24/07/2025","22/08/2025","(+3.35%)"
"Jasch Gauging","550.00","(-1.75%)","2.50","20/05/2025","22/08/2025",""
"Dhanashree Elec","169.75","","0.10","30/05/2025","22/08/2025","(+1.98%)"
"NDL Ventures","63.44","(-3.09%)","0.50","29/04/2025","22/08/2025",""
"WEP Solutions","27.70","","0.50","19/05/2025","22/08/2025","(+2.37%)"
"Dynamic Ind","110.00","(-0.14%)","1.00","21/05/2025","22/08/2025",""
"Naturewings Hol","95.00","","1.50","01/08/2025","22/08/2025","(+2.15%)"
"IB Infotech Ent","185.15","","1.00","13/05/2025","22/08/2025","(+1.76%)"
"Rupa and Comp","203.59","(-0.88%)","3.00","21/05/2025","25/08/2025",""
"Nitin Castings","653.50","","3.00","28/05/2025","25/08/2025","(+5.98%)"
"Gillette India","10,225.00","(-3.98%)","47.00","26/05/2025","26/08/2025",""
"Garware Technic","833.55","(-3.43%)","1.50","15/05/2025","26/08/2025",""
"MAS Financial S","302.40","(-0.18%)","0.70","30/04/2025","26/08/2025",""
"Jay BharatMarut","90.44","","0.70","22/05/2025","26/08/2025","(+4.05%)"
"Emami Paper","89.84","(-3.35%)","1.60","20/05/2025","26/08/2025",""
"Premco Global","447.00","(-4.40%)","2.00","15/05/2025","26/08/2025",""
"Aster DM Health","580.45","(-2.38%)","1.00","20/05/2025","28/08/2025",""
"Vedant Fashions","741.00","","8.00","06/05/2025","28/08/2025","(+1.22%)"
"Magna Electro","1,202.65","(-1.38%)","6.00","30/05/2025","28/08/2025",""
"Diamines Chem","390.65","(-2.93%)","1.00","29/05/2025","28/08/2025",""
"Bikaji Foods","722.75","(-0.97%)","1.00","15/05/2025","29/08/2025",""
"Whirlpool","1,264.60","(-2.32%)","5.00","20/05/2025","29/08/2025",""
"Ganesh Housing","859.05","(-2.45%)","5.00","14/05/2025","29/08/2025",""
"Harsha Engineer","415.10","(-0.24%)","1.00","08/05/2025","29/08/2025",""
"Cantabil Retail","253.50","","0.50","05/08/2025","29/08/2025","(+0.06%)"
"Salzer Electro","900.70","","2.50","26/05/2025","29/08/2025","(+5.33%)"
"Alfred Herbert","3,499.40","","5.00","23/05/2025","29/08/2025","(+5.00%)"
"Haryana Leather","68.49","","1.00","15/05/2025","29/08/2025","(+2.22%)"
